Symbol,Buy/Sell,Quantity,Price
PDB,Buy,460,465
EEE,Sell,970,1302.2
DLH,Sell,480,172
NEH,Sell,120,513
KKK,Buy,120,1674.2
AAA,Sell,430,1239.4
EEE,Buy,10,1325.1
KKK,Buy,700,1702.7
GKH,Buy,230,1343.8
CCC,Sell,780,1231.9
DLH,Sell,590,174
FVD,Sell,560,669
EEE,Sell,130,1315.3
QQQ,Buy,690,1674.2
FFF,Sell,140,244
CCC,Sell,540,1231.6
DDD,Buy,180,1597.6
TQM,Sell,30,1073.7
TQM,Sell,790,1069.1
GKH,Sell,570,1312.6
AAA,Buy,740,1213
UUU,Sell,970,675
EEE,Buy,140,1296.3
FFF,Sell,20,248
RRR,Sell,450,114
KKK,Buy,120,1650.3
FVD,Sell,980,667
FFF,Sell,450,247
FFF,Sell,150,244
AAA,Buy,350,1206.2
PDB,Sell,690,471
TQM,Buy,50,1078
GGG,Sell,970,587
BBB,Buy,90,463
SSS,Sell,630,878
HSW,Buy,80,1061.9
PDB,Sell,270,462
BBB,Buy,790,469
FFF,Sell,570,245
TTT,Buy,450,1329.2
EEE,Buy,540,1326.2
TTT,Sell,440,1333.6
GGG,Buy,10,585
BBB,Buy,780,469
GGG,Buy,160,587
BBB,Sell,290,468
GGG,Buy,720,594
UUU,Buy,360,691
TQM,Buy,450,1062.2
GKH,Sell,440,1321.3
YYY,Sell,520,61
RRR,Sell,340,113
UUU,Sell,250,681
KKK,Sell,820,1648.1
HRT,Buy,340,917
JJJ,Sell,380,741
GGG,Buy,320,594
TTT,Buy,890,1332.5
TQM,Buy,410,1047.4
GKH,Buy,140,1338.2
EEE,Buy,130,1329.5
KKK,Buy,290,1662.9
JJJ,Buy,820,726
HRT,Sell,480,912
CCC,Sell,20,1240.7
MMM,Sell,630,1703.3
PDB,Sell,650,476
GGG,Buy,480,588
TQM,Sell,360,1045.7
VVV,Sell,70,1395.6
UUU,Buy,380,673
GKH,Sell,840,1327
BBB,Sell,920,461
CCC,Buy,100,1233
MMM,Sell,120,1693.6
SSS,Buy,570,863
WWW,Sell,410,1512.6
RRR,Buy,760,113
JJJ,Buy,230,732
CCC,Buy,620,1219.4
FFF,Buy,430,242
GGG,Sell,180,591
KKK,Buy,10,1675.6
NNN,Buy,530,622
DLH,Buy,330,175
EEE,Sell,250,1324.5
SSS,Buy,250,869
TQM,Sell,960,1055.5
PDB,Sell,610,472
PDB,Buy,440,461
PPP,Buy,510,953
QQQ,Sell,630,1648.4
CCC,Sell,470,1235
PDB,Buy,350,470
EEE,Sell,650,1322
AAA,Sell,490,1234
FFF,Buy,860,246
CCC,Buy,810,1234.4
TQM,Sell,550,1053.5
CGG,Buy,890,1428.8
MMM,Buy,430,1700.1
GGG,Buy,160,584
NNN,Buy,980,613
FVD,Sell,230,656
AAA,Sell,780,1209.8
VVV,Buy,220,1408.8
DLH,Sell,730,173
AAA,Sell,410,1188.3
UUU,Sell,530,681
FFF,Buy,370,248
GKH,Buy,390,1317.4
MMM,Buy,610,1686.6
WWW,Buy,320,1479
MDU,Buy,400,1644.2
UUU,Buy,470,690
HHH,Sell,650,1936.2
TTT,Sell,630,1314.4
CCC,Sell,890,1239.3
EEE,Sell,160,1305.9
TTT,Buy,660,1351.1
GGG,Sell,470,586
TTT,Sell,30,1331.9
HRT,Buy,990,914
GGG,Buy,730,584
PDB,Buy,940,469
HHH,Sell,840,1914.5
CCC,Sell,30,1248.3
CGG,Buy,220,1420.8
TTT,Sell,270,1324.9
EEE,Sell,900,1321.7
ZZZ,Sell,10,1669.9
PDB,Sell,950,468
HRT,Buy,840,910
KKK,Sell,460,1692.4
NEH,Buy,620,512
PPP,Buy,640,957
GGG,Buy,290,587
SSS,Buy,470,870
VVV,Buy,420,1394.2
EEE,Sell,160,1309
TTT,Buy,640,1315.7
GKH,Buy,470,1338.9
UUU,Sell,650,680
BBB,Sell,630,471
VVV,Sell,830,1382.2
GGG,Buy,550,585
PDB,Sell,420,462
VVV,Sell,690,1397.4
GGG,Buy,650,593
HRT,Buy,970,913
TTT,Sell,310,1341.4
EEE,Buy,20,1309.4
PDB,Buy,390,465
CCC,Buy,940,1281.5
EEE,Sell,750,1326.5
CGG,Buy,860,1405.6
BBB,Buy,690,471
PPP,Buy,800,942
PDB,Sell,140,474
HSW,Buy,910,1051.3
MMM,Sell,770,1700.6
CCC,Sell,320,1259.2
PDB,Sell,240,471
AAA,Buy,550,1220.6
PPP,Buy,680,941
AAA,Buy,590,1215.8
GKH,Sell,880,1349.1
EEE,Sell,910,1329.6
CGG,Sell,950,1411.4
BBB,Sell,840,463
HRT,Sell,820,916
EEE,Sell,200,1326
EEE,Sell,990,1319.1
MDU,Sell,340,1630
GKH,Sell,930,1330.6
FFF,Buy,760,241
CCC,Buy,540,1231.7
VVV,Buy,260,1395.1
SSS,Buy,850,883
CCC,Buy,320,1257.2
PDB,Buy,950,479
SSS,Buy,320,873
GKH,Buy,920,1331.5
UUU,Sell,460,686
TQM,Buy,200,1046.1
GKH,Sell,900,1332.8
CCC,Sell,40,1235.3
MMM,Buy,200,1681.9
TTT,Sell,210,1333.8
VVV,Buy,160,1398.8
FFF,Buy,860,246
CCC,Sell,650,1247.5
PPP,Buy,630,952
TTT,Buy,670,1332.4
PDB,Buy,440,463
CCC,Buy,190,1219.8
PDB,Sell,770,471
GGG,Sell,530,587
CCC,Buy,260,1251.8
UUU,Sell,220,676
FFF,Sell,770,247
NEH,Buy,490,518
DLH,Buy,650,173
DLH,Buy,560,172
CCC,Sell,860,1224.7
DLH,Buy,650,173
AAA,Sell,460,1225
AAA,Sell,780,1197.5
PPP,Buy,820,969
JJJ,Sell,570,748
GKH,Sell,550,1324.6
FFF,Sell,810,245
PDB,Buy,600,470
TQM,Buy,330,1048.5
NEH,Buy,840,519
BBB,Sell,30,464
NNN,Sell,820,613
KKK,Sell,30,1700.6
PDB,Buy,890,467
TTT,Sell,310,1350.9
FFF,Sell,320,249
NEH,Buy,960,513
DDD,Buy,270,1561.6
HRT,Sell,670,908
TQM,Sell,760,1080.1
GKH,Sell,850,1292.6
EEE,Buy,950,1336.7
UUU,Sell,490,690
VVV,Buy,950,1395.9
FFF,Sell,460,247
MDU,Sell,350,1656.6
PDB,Sell,500,465
NNN,Buy,560,621
RRR,Buy,150,114
PPP,Buy,10,942
FFF,Sell,740,247
CGG,Buy,540,1435.2
DLH,Buy,590,173
PDB,Sell,430,459
FFF,Sell,370,247
FFF,Sell,870,249
MMM,Sell,590,1706.3
EEE,Buy,750,1297.7
DDD,Buy,520,1556.6
PPP,Buy,740,944
FVD,Sell,10,663
NEH,Buy,480,515
UUU,Buy,340,686
WWW,Buy,570,1508.5
TQM,Sell,790,1051.2
DLH,Sell,50,175
CCC,Buy,470,1252.5
MMM,Sell,720,1716.3
CGG,Buy,210,1446.3
EEE,Sell,950,1329.2
MMM,Sell,330,1652
FFF,Sell,210,247
PDB,Sell,110,461
DDD,Buy,410,1548.4
FFF,Sell,710,245
UUU,Buy,540,677
PPP,Buy,600,940
BBB,Buy,770,472
PPP,Sell,820,962
DLH,Sell,900,174
DLH,Buy,150,170
PDB,Buy,90,469
HRT,Buy,770,912
CCC,Sell,400,1249.2
DLH,Sell,250,174
UUU,Sell,860,683
PDB,Buy,10,474
AAA,Sell,350,1220.4
CCC,Buy,230,1232.2
PDB,Buy,730,468
DLH,Sell,160,173
DLH,Sell,110,172
HSW,Sell,930,1044.2
TTT,Sell,600,1327.1
AAA,Buy,790,1215.2
GKH,Sell,670,1351.2
EEE,Buy,780,1337.5
VVV,Buy,50,1415.5
PPP,Sell,540,962
EEE,Buy,380,1308.9
DDD,Sell,30,1572.7
AAA,Buy,920,1220.8
TQM,Buy,300,1057.2
PDB,Buy,340,471
SSS,Buy,60,870
BBB,Buy,670,470
CCC,Sell,690,1259.1
HHH,Buy,570,1914.1
PDB,Sell,490,462
GKH,Sell,800,1344.9
FFF,Buy,200,248
PPP,Buy,990,949
FFF,Buy,650,244
GGG,Sell,30,588
VVV,Buy,230,1401.8
KKK,Sell,140,1651.1
CGG,Buy,150,1415
NEH,Sell,330,520
PDB,Buy,340,467
TTT,Buy,660,1324.5
PDB,Sell,960,476
MDU,Buy,720,1639
VVV,Sell,600,1406.7
MDU,Buy,960,1629.1
DLH,Sell,740,172
PDB,Sell,370,468
FFF,Sell,190,251
FFF,Buy,270,247
BBB,Buy,720,447
PPP,Sell,480,952
UUU,Sell,760,689
HRT,Sell,870,916
GGG,Sell,310,587
VVV,Buy,510,1429.7
HSW,Buy,130,1059.3
FFF,Sell,930,244
BBB,Sell,100,463
YYY,Sell,630,62
BBB,Sell,100,469
MDU,Sell,840,1642.1
NNN,Sell,450,627
PPP,Buy,420,965
TQM,Sell,190,1051.5
RRR,Buy,180,115
VVV,Buy,130,1386
FFF,Sell,340,248
CGG,Sell,200,1444.4
CCC,Sell,880,1240.4
AAA,Buy,240,1222.3
TTT,Buy,650,1323.5
SSS,Sell,290,873
PPP,Buy,100,945
BBB,Buy,160,471
HRT,Sell,560,899
TQM,Sell,360,1072
QQQ,Sell,650,1673.1
BBB,Sell,640,468
GKH,Sell,470,1346.2
WWW,Buy,130,1523.6
PDB,Buy,800,469
NEH,Buy,960,520
HRT,Buy,970,926
FFF,Sell,670,247
FFF,Buy,510,249
GGG,Sell,80,595
CCC,Sell,120,1247.6
SSS,Sell,630,871
MMM,Buy,470,1686
BBB,Sell,420,455
DLH,Buy,380,174
CCC,Sell,820,1233.7
AAA,Sell,600,1216.1
PDB,Buy,150,464
HSW,Sell,400,1068.9
TQM,Buy,400,1067.5
CCC,Sell,520,1247
FFF,Buy,40,250
NNN,Sell,420,637
BBB,Sell,150,462
FFF,Buy,550,251
KKK,Buy,730,1710.5
HRT,Sell,110,915
RRR,Buy,90,113
FFF,Buy,330,239
MDU,Sell,200,1637.6
BBB,Sell,490,468
DDD,Sell,920,1562.4
MDU,Buy,10,1645.9
SSS,Buy,360,876
NNN,Sell,450,624
FVD,Buy,750,657
EEE,Sell,470,1327.5
KKK,Buy,150,1661.2
GGG,Buy,220,589
CCC,Sell,700,1241.8
VVV,Sell,690,1390.4
FFF,Sell,590,244
MDU,Sell,570,1632.3
BBB,Sell,140,471
VVV,Sell,420,1407.1
AAA,Sell,350,1213.5
FFF,Sell,200,248
PDB,Buy,760,470
VVV,Sell,630,1411.6
VVV,Buy,710,1408.9
GGG,Sell,600,582
RRR,Buy,110,114
YYY,Sell,310,61
CCC,Buy,980,1212.6
FFF,Buy,570,246
HRT,Buy,430,916
RRR,Sell,370,116
MDU,Sell,340,1657.6
KKK,Buy,710,1698.9
AAA,Buy,720,1225
VVV,Sell,160,1393.9
FFF,Sell,740,244
CCC,Sell,170,1254.2
HRT,Buy,680,936
TTT,Buy,660,1354.4
HSW,Buy,480,1049.2
NEH,Sell,20,526
RRR,Sell,540,113
TQM,Buy,240,1057.3
TTT,Sell,210,1338.4
TTT,Sell,690,1312.4
EEE,Buy,10,1340.8
EEE,Sell,590,1318.7
GKH,Buy,180,1326.5
VVV,Buy,30,1416.4
GGG,Sell,990,587
RRR,Buy,350,112
QQQ,Buy,350,1670.3
GKH,Buy,880,1319.8
NNN,Buy,360,623
EEE,Sell,540,1322
VVV,Sell,540,1391.6
MDU,Buy,780,1667.9
AAA,Sell,120,1239.1
CCC,Buy,970,1239
FVD,Buy,250,672
GKH,Sell,280,1344
TTT,Buy,880,1303.8
GGG,Buy,530,576
KKK,Sell,500,1694.4
TTT,Sell,770,1325.1
NEH,Buy,950,519
PDB,Buy,500,469
VVV,Sell,380,1397
BBB,Buy,40,462
TTT,Buy,830,1346
HRT,Buy,750,907
EEE,Buy,830,1303.3
NEH,Sell,990,526
HRT,Buy,990,910
FVD,Sell,810,655
PDB,Sell,890,459
NEH,Sell,200,520
UUU,Sell,980,670
TQM,Sell,140,1083.1
HSW,Sell,630,1058.8
PDB,Buy,920,468
FFF,Sell,180,245
DLH,Sell,530,175
VVV,Sell,400,1405.8
SSS,Sell,340,870
AAA,Sell,830,1216.3
CCC,Sell,480,1243.1
SSS,Sell,220,866
DLH,Sell,740,171
FFF,Buy,290,241
GGG,Sell,850,591
SSS,Buy,660,853
PPP,Sell,860,956
CCC,Sell,870,1230.8
TTT,Sell,190,1337.2
XXX,Sell,20,1355.8
FFF,Buy,370,244
PDB,Sell,390,463
CCC,Buy,590,1233
XXX,Buy,250,1370.7
RRR,Sell,340,114
XXX,Sell,470,1351.7
DLH,Buy,20,172
PPP,Sell,730,943
NEH,Sell,90,518
FFF,Buy,320,244
FFF,Buy,150,245
TQM,Buy,710,1055.1
GGG,Sell,320,588
TTT,Buy,120,1309.4
FVD,Buy,810,653
EEE,Sell,170,1334
MMM,Buy,840,1642.3
TTT,Buy,260,1315.9
EEE,Buy,300,1308
CCC,Sell,800,1212.4
VVV,Sell,170,1388.3
CCC,Sell,880,1256.8
PDB,Sell,870,464
CGG,Sell,840,1426.9
NEH,Sell,510,516
PDB,Sell,140,461
TTT,Sell,170,1347.1
PDB,Sell,940,462
TTT,Sell,630,1318.4
UUU,Buy,510,676
XXX,Sell,130,1354.7
RRR,Buy,860,114
GGG,Buy,260,590
GKH,Sell,740,1327.8
FFF,Sell,130,248
WWW,Buy,970,1486.6
RRR,Sell,60,114
TTT,Sell,940,1315.2
VVV,Buy,740,1403
PPP,Sell,970,931
YYY,Sell,50,61
HRT,Buy,800,917
BBB,Sell,220,460
FVD,Buy,910,651
PPP,Buy,610,956
HRT,Sell,770,901
NNN,Buy,10,629
FFF,Sell,90,242
PDB,Sell,450,462
FFF,Sell,370,245
NEH,Sell,610,515
CGG,Buy,430,1407.6
TQM,Sell,520,1046.8
FVD,Sell,110,659
MMM,Sell,60,1688.8
KKK,Sell,340,1668.5
MMM,Sell,880,1665.5
CCC,Buy,460,1219.4
GKH,Buy,680,1321.7
UUU,Buy,980,684
BBB,Sell,800,466
EEE,Buy,430,1305.7
FFF,Sell,670,244
RRR,Buy,930,112
AAA,Sell,810,1197.4
PDB,Sell,990,473
CCC,Buy,290,1228.3
TTT,Buy,700,1334.4
PDB,Buy,160,469
BBB,Buy,690,466
PDB,Buy,630,470
TTT,Sell,710,1340.6
FFF,Buy,390,248
PDB,Buy,830,464
CGG,Buy,370,1413.3
DLH,Buy,390,173
TTT,Sell,900,1326.7
DLH,Sell,480,173
GKH,Sell,450,1343.2
DLH,Sell,820,175
PDB,Sell,610,470
KKK,Buy,120,1689
FVD,Sell,370,642
VVV,Sell,500,1415.1
BBB,Buy,440,462
FFF,Sell,150,250
PDB,Sell,630,462
TTT,Buy,860,1326
TQM,Sell,690,1063.5
PDB,Sell,110,460
FFF,Buy,860,245
NEH,Sell,690,504
FFF,Sell,630,244
TTT,Sell,430,1328.5
PDB,Buy,130,464
PDB,Sell,430,463
GGG,Sell,50,596
TQM,Sell,850,1044.3
GGG,Sell,100,589
PDB,Buy,890,472
PDB,Sell,170,471
VVV,Buy,990,1407.9
MMM,Sell,160,1658.5
SSS,Sell,630,876
TTT,Buy,430,1342.6
CGG,Sell,960,1434.8
TQM,Buy,790,1055.1
BBB,Sell,30,468
AAA,Sell,240,1235.2
GKH,Buy,840,1339.1
GKH,Buy,840,1331.9
GKH,Sell,400,1318.1
DLH,Sell,250,174
XXX,Buy,210,1366.8
GKH,Sell,190,1334.4
FFF,Sell,730,250
SSS,Buy,150,869
TQM,Buy,360,1045.1
CCC,Buy,710,1236.5
FFF,Sell,20,244
TQM,Buy,170,1063.4
NEH,Buy,680,513
CCC,Buy,700,1236.4
TTT,Sell,160,1323.5
GGG,Buy,90,581
TQM,Sell,260,1042.5
GKH,Buy,900,1330.7
NEH,Sell,2730,509
NNN,Buy,270,620
NNN,Sell,300,632
TTT,Sell,950,1326.2
PDB,Buy,900,460
GGG,Buy,30,584
TTT,Sell,780,1341.4
CCC,Buy,760,1252.8
AAA,Buy,60,1227.7
FFF,Buy,490,243
FVD,Sell,630,658
TTT,Sell,790,1322.5
TTT,Buy,570,1330
VVV,Sell,500,1397.8
BBB,Sell,970,472
PDB,Sell,640,468
AAA,Buy,990,1217.3
MDU,Buy,880,1653.1
CGG,Sell,70,1419.6
RRR,Buy,760,113
VVV,Buy,380,1402.5
DLH,Buy,890,174
EEE,Sell,260,1312.4
FFF,Sell,750,243
YYY,Buy,720,61
GKH,Sell,140,1324.2
BBB,Buy,560,473
PPP,Sell,280,970
CGG,Sell,980,1398.4
CCC,Sell,830,1231.7
FVD,Buy,630,660
PPP,Buy,310,960
PDB,Sell,280,467
HRT,Sell,520,917
CCC,Sell,90,1234
BBB,Buy,150,470
EEE,Sell,830,1320.5
KKK,Sell,620,1678.8
NEH,Sell,270,519
GGG,Buy,220,599
MMM,Buy,980,1676.9
DLH,Buy,830,173
RRR,Sell,860,113
VVV,Buy,450,1405.1
CCC,Sell,800,1225.3
TTT,Buy,160,1323.8
CCC,Sell,600,1258.5
HRT,Buy,520,928
NEH,Buy,660,519
PPP,Sell,170,961
SSS,Sell,650,888
YYY,Sell,840,63
TTT,Sell,280,1323.4
NEH,Sell,790,514
BBB,Sell,690,467
NEH,Buy,320,507
MDU,Sell,970,1641
PDB,Buy,950,461
CCC,Sell,780,1227.2
HRT,Buy,390,914
TQM,Sell,560,1065
PDB,Sell,90,472
QQQ,Sell,320,1673.7
GKH,Buy,290,1327.8
FFF,Buy,360,248
FFF,Sell,490,247
GKH,Sell,370,1319.3
GKH,Buy,20,1325.1
HSW,Sell,80,1062
PPP,Buy,260,941
AAA,Sell,900,1233.6
MMM,Buy,450,1690.3
GKH,Sell,130,1344.2
PDB,Buy,290,465
HRT,Buy,930,911
GGG,Buy,890,591
TQM,Buy,850,1057
CCC,Buy,770,1237
NEH,Sell,790,516
GGG,Sell,410,580
CCC,Buy,900,1249.4
EEE,Sell,200,1306.7
FFF,Buy,400,251
MDU,Buy,10,1675.6
FFF,Buy,160,246
MDU,Buy,490,1645.3
BBB,Buy,20,466
FFF,Sell,200,243
CGG,Buy,350,1433.5
JJJ,Sell,320,747
SSS,Buy,860,881
PDB,Sell,290,469
MMM,Buy,610,1685
CCC,Buy,360,1237.8
XXX,Sell,850,1356.7
PDB,Buy,360,473
SSS,Sell,590,878
FVD,Buy,820,661
VVV,Sell,340,1428.3
ZZZ,Sell,370,1686.6
FFF,Sell,80,248
GGG,Sell,890,586
MMM,Sell,930,1673.1
GGG,Buy,780,590
CGG,Sell,40,1442.3
TQM,Buy,80,1060.9
PDB,Sell,600,465
PDB,Buy,130,470
FFF,Sell,240,243
VVV,Sell,440,1404.2
BBB,Sell,10,462
TTT,Sell,170,1324.4
NEH,Sell,870,520
GGG,Sell,780,584
TTT,Buy,350,1330.2
HSW,Buy,380,1064.7
MDU,Buy,580,1657.8
VVV,Sell,240,1415.8
FVD,Buy,160,659
HRT,Buy,810,908
VVV,Sell,900,1408
UUU,Sell,890,667
FFF,Buy,450,243
EEE,Sell,80,1316
AAA,Sell,510,1201.4
TQM,Buy,960,1071.9
GGG,Sell,460,594
CCC,Buy,720,1231.4
PDB,Sell,930,469
EEE,Buy,920,1324.5
KKK,Sell,550,1695.9
NEH,Buy,20,520
GGG,Buy,590,595
BBB,Sell,290,468
VVV,Buy,320,1383
PDB,Buy,790,462
VVV,Sell,20,1431.2
BBB,Sell,410,457
CCC,Buy,380,1249.9
PDB,Sell,930,469
EEE,Sell,110,1315.2
KKK,Buy,120,1681.1
EEE,Sell,750,1307
BBB,Buy,670,460
EEE,Buy,660,1334.8
AAA,Sell,590,1226
RRR,Buy,970,113
FFF,Buy,560,246
SSS,Buy,230,891
FVD,Sell,850,656
UUU,Buy,100,671
BBB,Sell,170,468
SSS,Sell,380,856
HRT,Buy,640,909
PDB,Sell,760,462
PDB,Buy,660,464
SSS,Sell,140,862
PDB,Sell,50,466
BBB,Buy,240,465
TQM,Sell,960,1067.3
PDB,Buy,300,469
HRT,Sell,160,898
HSW,Buy,180,1059.8
SSS,Buy,10,874
RRR,Buy,930,113
RRR,Buy,680,113
VVV,Buy,740,1417.2
NEH,Buy,250,518
TTT,Buy,990,1332.3
DLH,Buy,110,176
AAA,Buy,50,1207
CCC,Buy,580,1240.3
DLH,Buy,570,175
AAA,Sell,60,1216.6
TQM,Sell,860,1066.8
CGG,Buy,540,1400.6
QQQ,Sell,890,1664.9
TQM,Sell,420,1062.2
DLH,Sell,500,174
CGG,Sell,640,1406.6
GGG,Buy,100,594
NEH,Sell,870,514
SSS,Sell,570,870
PDB,Sell,650,472
BBB,Sell,540,461
UUU,Buy,140,683
EEE,Buy,30,1307.6
KKK,Buy,330,1692.9
BBB,Buy,920,465
MDU,Sell,120,1628.3
TTT,Sell,780,1305.6
VVV,Buy,970,1413.5
FFF,Buy,960,246
CCC,Sell,650,1262.5
SSS,Buy,160,874
HRT,Sell,200,930
YYY,Buy,60,61
HRT,Sell,620,901
NEH,Sell,300,508
MMM,Buy,20,1707
GGG,Sell,480,583
TTT,Buy,570,1293.6
DLH,Buy,830,174
DLH,Sell,450,174
DLH,Sell,790,174
FFF,Buy,770,250
PDB,Sell,60,468
VVV,Sell,960,1405.3
XXX,Buy,400,1341.6
BBB,Sell,270,468
GKH,Sell,700,1319.6
NEH,Sell,890,524
PDB,Sell,200,471
PDB,Buy,650,463
PDB,Sell,100,465
YYY,Sell,260,61
KKK,Buy,170,1698.4
GGG,Sell,490,586
TQM,Sell,90,1059.3
FVD,Buy,60,670
KKK,Buy,480,1698.9
PDB,Sell,500,473
MMM,Sell,650,1697.4
PPP,Buy,20,959
PDB,Sell,820,465
CCC,Sell,970,1208.7
GKH,Sell,610,1340.7
TQM,Buy,490,1065.9
NEH,Buy,540,506
HSW,Sell,590,1052
SSS,Sell,550,870
HRT,Buy,840,914
CGG,Buy,270,1412.8
UUU,Buy,920,686
EEE,Buy,690,1312.1
VVV,Buy,600,1395.5
CCC,Sell,260,1251.1
EEE,Sell,700,1311.2
VVV,Buy,10,1418.4
PDB,Buy,810,455
TTT,Buy,670,1333.6
RRR,Sell,330,115
QQQ,Buy,900,1654.2
PDB,Buy,700,473
FFF,Sell,850,252
FVD,Sell,190,655
FFF,Sell,370,247
GKH,Buy,100,1331.4
AAA,Sell,140,1218.6
CCC,Buy,660,1240.6
FFF,Buy,880,247
RRR,Buy,790,114
BBB,Buy,730,463
BBB,Sell,580,456
FVD,Sell,150,663
PDB,Sell,310,466
GGG,Sell,460,589
TTT,Buy,490,1326.4
PDB,Buy,280,469
DLH,Sell,370,174
MMM,Buy,470,1714.2
FFF,Sell,900,246
CCC,Buy,620,1232.2
GKH,Buy,740,1331.6
BBB,Sell,640,463
GKH,Sell,380,1330.4
TTT,Sell,860,1326
TTT,Sell,190,1324.4
TQM,Sell,600,1064.4
GGG,Sell,900,594
BBB,Sell,80,465
VVV,Buy,900,1443
NEH,Sell,240,522
FFF,Buy,140,248
BBB,Sell,650,464
PDB,Sell,50,460
MDU,Sell,900,1637.7
HSW,Buy,620,1070.1
TTT,Buy,600,1336.1
PPP,Buy,690,954
RRR,Buy,420,113
NEH,Buy,810,514
TTT,Buy,310,1294
KKK,Buy,750,1673.1
GGG,Sell,730,587
FVD,Sell,930,648
MDU,Sell,740,1638.9
PPP,Sell,720,939
MMM,Buy,660,1697.8
GKH,Buy,880,1332.6
CCC,Buy,120,1230.6
UUU,Sell,210,681
MDU,Buy,700,1636.7
FFF,Sell,120,250
GGG,Buy,480,590
VVV,Buy,510,1397.1
PDB,Buy,690,463
